Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Risk factors and mechanisms of preterm delivery in Malawi.,Abrams ET.; Milner DA.; Kwiek J.; Mwapasa V.; Kamwendo DD.; Zeng D.; Tadesse E.; Lema VM.; Molyneux ME.; Rogerson SJ.; Meshnick SR.,"We examined risk factors and mechanisms of preterm delivery (PTD) in malaria-exposed pregnant women in Blantyre, Malawi. The human immunodeficiency virus (HIV), malaria, syphilis, and anemia were assessed in a cross-sectional study of 572 pregnant women. In a nested case-control study, chorioamnionitis (CAM) was examined; tumor necrosis factor (TNF)-alpha, interleukin (IL)-6, IL-8, macrophage inflammatory protein (MIP)-1alpha, monocyte chemotactic protein (MCP)-1, transforming growth factor (TGF)-beta, cortisol, and corticotropin-releasing hormone were measured in placental, maternal and/or cord blood. HIV, infrequent antenatal clinic attendance, low-maternal weight, no intermittent preventive malaria therapy (IPT), and CAM were associated with PTD, while malaria was not. Of the 18 compartmental cytokine measurements, elevations in placental and/or cord IL-6 and IL-8 were associated with both CAM and PTD. In contrast, there was no overlap between the cytokines affected by malaria and those associated with PTD. The HIV and CAM were the major infections associated with PTD in this study. CAM, but not malaria, causes PTD via its effect on proinflammatory cytokines.",2004,Aug,"American journal of reproductive immunology (New York, N.Y. : 1989)",52,2,174-83,,10.1111/j.1600-0897.2004.00186.x,15274659,#572,Abrams 2004,Exclusion reason: 8. STI data inappropriate or missing; ,""
Male circumcision and HIV infection in four cities in sub-Saharan Africa,Auvert B.; Buvé A.; Lagarde E.; Kahindo M.; Chege J.; Rutenberg N.; Musonda R.; Laourou M.; Akam E.; Weiss H.A.,"Objectives: To explore the role of male circumcision in the spread of HIV infection in four urban populations in sub-Saharan Africa. Design and methods: A cross-sectional population based study was conducted in four cities in sub-Saharan Africa with different levels of HIV infection. HIV prevalence among adults was relatively low in Cotonou (Benin) and in Yaoundé (Cameroon), and exceeded 25% in Kisumu (Kenya) and in Ndola (Zambia). In each city, a random sample was taken of men and women aged 15-49 years from the general population. Consenting study participants were interviewed about their sociodemographic characteristics and their sexual behaviour, and were tested for HIV, herpes simplex virus type 2, syphilis, gonorrhoea and chlamydial infection. Men underwent a genital examination. Results: In Cotonou and in Yaoundé, the two low HIV prevalence cities, 99% of men were circumcised. In Kisumu 27.5% of men were circumcised, and in Ndola this proportion was 9%. In Kisumu, the prevalence of HIV infection was 9.9% among circumcised men and 26.6% among uncircumcised men. After controlling for socio-demographic characteristics, sexual behaviour and other sexually transmitted infections, the protective effect of male circumcision remained with an adjusted odds ratio of 0.26 (95% confidence interval = 0.12-0.56). In Ndola, the prevalence of HIV infection was 25.0% in circumcised men and 26.0% in uncircumcised men. The power was insufficient to adjust for any differences in sexual behaviour. Conclusions: The differences in epidemic spread of HIV are likely to be due to differences in the probability of transmission of HIV during sexual exposure as well as differences in sexual behaviour. Male circumcision is one of the factors influencing the transmission of HIV during sexual intercourse, and this study confirms the population level association between HIV and lack of male circumcision, as well as a strong individual level association in Kisumu, the only city with sufficient power to analyze this association. © 2001 Lippincott Williams & Wilkins.",2001,,AIDS,15,SUPPL. 4,S31-S40,,10.1097/00002030-200108004-00004,,#2119,Auvert 2001,Exclusion reason: 4. Incorrect setting or timing; ,""
"Probability of HIV-1 transmission per coital act in monogamous, heterosexual, HIV-1-discordant couples in Rakai, Uganda.",Gray RH.; Wawer MJ.; Brookmeyer R.; Sewankambo NK.; Serwadda D.; Wabwire-Mangen F.; Lutalo T.; Li X.; vanCott T.; Quinn TC.;  .,"The probability of HIV-1 transmission per coital act in representative African populations is unknown. We aimed to calculate this probability overall, and to estimate how it is affected by various factors thought to influence infectivity. 174 monogamous couples, in which one partner was HIV-1 positive, were retrospectively identified from a population cohort in Rakai, Uganda. Frequency of intercourse and reliability of reporting within couples was assessed prospectively. HIV-1 seroconversion was determined in the uninfected partners, and HIV-1 viral load was measured in the infected partners. Adjusted rate ratios of transmission per coital act were estimated by Poisson regression. Probabilities of transmission per act were estimated by log-log binomial regression for quartiles of age and HIV-1 viral load, and for symptoms or diagnoses of sexually transmitted diseases (STDs) in the HIV-1-infected partners. The mean frequency of intercourse was 8.9 per month, which declined with age and HIV-1 viral load. Members of couples reported similar frequencies of intercourse. The overall unadjusted probability of HIV-1 transmission per coital act was 0.0011 (95% CI 0.0008-0.0015). Transmission probabilities increased from 0.0001 per act at viral loads of less than 1700 copies/mL to 0.0023 per act at 38 500 copies/mL or more (p=0.002), and were 0.0041 with genital ulceration versus 0.0011 without (p=0.02). Transmission probabilities per act did not differ significantly by HIV-1 subtypes A and D, sex, STDs, or symptoms of discharge or dysuria in the HIV-1-positive partner. Higher viral load and genital ulceration are the main determinants of HIV-1 transmission per coital act in this Ugandan population.",2001,Apr,"Lancet (London, England)",357,9263,1149-53,,10.1016/S0140-6736(00)04331-2,11323041,#801,Gray 2001,Exclusion reason: 4. Incorrect setting or timing; ,""
Epidemiology of curable sexually transmitted infections among women at increased risk for HIV in northwestern Tanzania: inadequacy of syndromic management.,Francis SC.; Ao TT.; Vanobberghen FM.; Chilongani J.; Hashim R.; Andreasen A.; Watson-Jones D.; Changalucha J.; Kapiga S.; Hayes RJ.,"Curable, non-viral pathogens account for a significant burden of sexually transmitted infections (STIs), and there is established evidence that STIs increase both HIV acquisition and transmission. We investigated the prevalence, trends, and factors associated with Chlamydia trachomatis, Neisseria gonorrhoeae, Trichomonas vaginalis and Treponema pallidum, and the performance of syndromic management, among a cohort of women working in bars, hotels, and other food and recreational facilities near large-scale mines in northwestern Tanzania. HIV-negative women aged 18-44 years (N = 966) were enrolled and followed for 12 months in a microbicides feasibility study. We collected sociodemographic and behavioural data, performed clinical examinations, and tested for STIs, at enrolment and 3-monthly. Risk factors for STIs were investigated using logistic regression models with random effects. Sensitivity, specificity and predictive values of syndromic management were calculated. At enrolment, the prevalences of C. trachomatis, N. gonorrhoeae, T. vaginalis, and high-titre active syphilis were 111/956 (12%), 42/955 (4%), 184/945 (19%) and 46/965 (5%), respectively. There were significant decreases over time for C. trachomatis and T. vaginalis (OR trend per month: 0.94 [95% CI 0.91, 0.97]; and 0.95 [0.93, 0.98], respectively; both p<0.001). The majority of these infections were not diagnosed by the corresponding syndrome; therefore, most participants were not treated at the diagnosis visit. Syndromic management was poorly predictive of laboratory-diagnosed infections. We identified a number of risk factors for STIs, including low educational level, some sexual behaviours, and ever having been pregnant. This analysis demonstrates that the prevalences of curable STIs are high among women who work in food and recreational facilities in northwestern Tanzania. Most of these infections are missed by syndromic management. Accurate and affordable rapid-point-of-care tests and innovative interventions are needed to reduce the burden of STIs in this population which is at increased risk for HIV.",2014,,PloS one,9,7,e101221,,10.1371/journal.pone.0101221,25025338,#1799,Francis 2014,Exclusion reason: 5. Incorrect population; ,""
"Effect of an interactive text-messaging service on patient retention during the first year of HIV care in Kenya (WelTel Retain): an open-label, randomised parallel-group study.",van der Kop ML.; Muhula S.; Nagide PI.; Thabane L.; Gelmon L.; Awiti PO.; Abunah B.; Kyomuhangi LB.; Budd MA.; Marra C.; Patel A.; Karanja S.; Ojakaa DI.; Mills EJ.; Ekström AM.; Lester RT.,"Retention of patients in HIV care is crucial to ensure timely treatment initiation, viral suppression, and to avert AIDS-related deaths. We did a randomised trial to determine whether a text-messaging intervention improved retention during the first year of HIV care. This unmasked, randomised parallel-group study was done at two clinics in informal settlements in Nairobi, Kenya. Eligible participants were aged 18 years or older, HIV-positive, had their own mobile phone or access to one, and were able to use simple text messaging (or have somebody who could text message on their behalf). Participants were randomly assigned (1:1), with random block sizes of 2, 4, and 6, to the intervention or control group. Participants in the intervention group received a weekly text message from the automated WelTel service for 1 year and were asked to respond within 48 h. Participants in the control group did not receive text messages. Participants in both groups received usual care, which comprised psychosocial support and counselling; patient education; CD4 cell count; treatment; screening for tuberculosis, opportunistic infections, and sexually transmitted infections; prevention of mother-to-child transmission and family planning services; and up to two telephone calls for missed appointments. The primary outcome was retention in care at 12 months (ie, clinic attendance 10-14 months after the first visit). Participants who did not attend this 12-month appointment were traced, and we considered as retained those who were confirmed to be active in care elsewhere. The data analyst and clinic staff were masked to the group assignment, whereas participants and research nurses were not. We analysed the intention-to-treat population. This trial is registered with ClinicalTrials.gov, number NCT01630304. Between April 4, 2013, and June 4, 2015, we screened 1068 individuals, of whom 700 were recruited. 349 people were allocated to the intervention group and 351 to the control group. Participants were followed up for a median of 55 weeks (IQR 51-60). At 12 months, 277 (79%) of 349 participants in the intervention group were retained, compared with 285 (81%) of 351 participants in the control group (risk ratio 0·98, 95% CI 0·91-1·05; p=0·54). There was one mild adverse event related to the intervention, a domestic dispute that occurred when a participant's partner became suspicious of the weekly messages and follow-up calls. This weekly text-messaging service did not improve retention of people in early HIV care. The intervention might have a modest role in improving self-perceived health-related quality of life in individuals in HIV care in similar settings. National Institutes of Health and Canadian Institutes of Health Research Canadian HIV Trials Network.",2018,03,The Lancet. Public health,3,3,e143-e152,,10.1016/S2468-2667(17)30239-6,29361433,#1029,vanderKop 2018,Exclusion reason: 8. STI data inappropriate or missing; ,""
High prevalence of chlamydia and gonorrhoea among patients with genital ulcer disease in Zimbabwe: Potential implications for syndromic management,Mungati M.; Mugurungi O.; Machiha A.; Tshimanga M.; Kilmarx P.; Nyakura J.; Shambira G.; Gonese E.; Herman-Roloff A.; Kupara V.; Lewis D.; Handsfield H.; Rietmeijer C.,"Background Syndromic management of genital ulcer disease (GUD) as recommended by the Zimbabwe Ministry of Health and Child Care, includes antibiotics against Treponema pallidum (TP: benzathine penicillin), Haemophilus ducreyi (HD: erythromycin), and herpes simplex virus (HSV: acyclovir). However, these medications are not recommended to treat co-infections with Neisseria gonorrhoeae (NG: ceftriaxone or kanamycin) and Chlamydia trachomatis (CT: doxycycline or azithromycin) and, unless a person with GUD is simultaneously diagnosed with genital discharge syndromes (GDS), NG and CT co-infections will not be treated according to guidelines. Methods In an ongoing study, we enrolled men and women with GDS or GUD syndromes in 6 clinics with high STI prevalence in Zimbabwe. In addition to testing ulcer secretions for TP, HD, and HSV by multiplex polymerase chain reaction (National Institute of Communicable Diseases, Johanneburg), all patients had urine (males) or vaginal swabs (females) tested for NG and CT by nucleic acid amplification (GeneXpert®). Results To date, 302 patients have been enrolled for whom testing is complete, including 106 GUD and 196 GDS patients. NG and/or CT infections were present in 19/52 (36.5%) female GUD patients and 13/54 (24.1%) male GUD patients, compared to 26/96 (27.1%) female GDS patients and 68/100 (68.0%) male GDS patients. Of 32 GUD patients infected with NG (N = 24) and/or CT (N = 17), including 9 dual infections, only 4/18 (22%) of women and 4/14 (29%) of men met objective criteria for simultaneous GDS syndromic management. Conclusion In our study, urethral or vaginal GC and/or CT infections were present in 30% of patients with GUD, of whom three quarters would not have been treated according to recommended syndromic treatment guidelines for sexually transmitted infections. Our study methods and findings should be relevant for Zimbabwe and other countries that are using a syndromic approach to STI control.",2015,,Sexually Transmitted Infections,91,"(Rietmeijer C.) Rietmeijer Consulting, Denver, United States",A39,,10.1136/sextrans-2015-052270.114,,#4590,Mungati 2015,Exclusion reason: 6. HIV data not available or inappropriate; ,""
Performance of GeneXpert® CT/NG in the diagnosis of Neisseria gonorrhoeae and chlamydia trachomatis among men and women with genital discharge syndrome in Zimbabwe,Mungati M.; Mugurungi O.; Machiha A.; Tshimanga M.; Kilmarx P.; Nyakura J.; Shambira G.; Gonese E.; Herman-Roloff A.; Kupara V.; Lewis D.; Handsfield H.; Rietmeijer C.,"Background In many countries, patients with genital discharge syndrome (GDS) are treated syndromically with antibiotics that cover both Neisseria gonorrhoeae (NG) and Chlamydia trachomatis (CT). The syndromic approach leads to both over-treatment (as most patients are not dually infected) and undertreatment (as asymptomatic infections are not detected). We studied the performance of the GeneXpert® nucleic acid amplification test (NAAT) as a testing platform for NG and CT in a study of the aetiology of GDS in Zimbabwe. Materials and methods In an ongoing study, we enrolled 400 patients with GDS in 6 regionally diverse clinics in Zimbabwe serving high numbers of STI cases. Urine (men) and vaginal (women) specimens were taken for testing on 3 NAAT platforms: GeneXpert®, Probetec™ and multiplex polymerase chain reaction (M-PCR), conducted in different laboratories. We analysed overall concordance of results between platforms and assessed the performance of the GeneXpert® test when compared to a gold standard comprised of concordant results on both Probetec™ and M-PCR platforms. Results To date, a total of 197 men and 200 women with GDS have been enrolled. Testing on all 3 platforms is complete for the 136 GDS patients enrolled in Harare. Concordance of positive or negative results for all 3 platforms was 133/136 (97.8%) for NG and 132/136 (97.0%) for CT. Sensitivity of the GeneXpert ® platform compared to the Probetec™/M-PCR combined gold standard was 100% for both NG and CT; specificity was 98.8% for NG and 100% for CT. Conclusions Aetiologic diagnosis has long been out of reach for many countries. However, the increasing presence of nucleic acid amplification test (NAAT) devices in many countries, such as GeneXpert®, for the diagnosis of tuberculosis and other infections, opens the possibility to use them for the diagnosis of other pathogens including NG and CT as an alternative or adjunct to syndromic management.",2015,,Sexually Transmitted Infections,91,"(Rietmeijer C.) Rietmeijer Consulting, Denver, United States",A155-A156,,10.1136/sextrans-2015-052270.405,,#4609,Mungati 2015,Exclusion reason: 5. Incorrect population; ,""
"Incidence and prevalence of sexually transmitted infections among school students in the eastern cape, South Africa",Radebe F.; Jemmott J.; Klopper A.; Jemmott L.; O'Leary A.; Ngwane Z.; Carty C.; Tyler J.; Maseko V.; Lewis D.,"Background: Although STIs are an important co-factor for HIV acquisition, few community-based STI prevalence/incidence data exist for youth in South Africa. Methods: School students (n=1057), enrolled in a cluster-randomised intervention trial in the Eastern Cape, were tested for STIs at the 42 (42M) and 54 (54M) month follow-up visits. Students filled in questionnaires, provided blood for herpes simplex type 2 (HSV-2) serology (HerpeSelect IgG, Focus Diagnostics) and urine to test for Neisseria gonorrhoeae (NG), Chlamydia trachomatis (CT) and Trichomonas vaginalis (TV) (Aptima Combo 2 and Aptima TV, GenProbe). Positive NG/CT/TV results were confirmed by other assays (Aptima NG, Aptima CT, Gen-Probe; T vaginalis Real-TM, Sacace Biotechnologies). Students with NG/CT/TV received treatment and partner follow-up; those with HSV-2 infection were counselled. STI prevalence was determined by gender at each visit; overall incidence was estimated using results for all students attending both visits and also for a subgroup who reported ever having had vaginal intercourse. Descriptive statistical analysis was performed and associations investigated with the χ2 test. Results: 959 (91%) and 977 (92%) students tested for STIs at 42M and 54M, respectively. The students' mean age (SD) was 15.8 (1.25) years at 42M and 16.8 (1.25) years at 54M. At 42M, 149 (15.5%) had curable STIs and 67 (7.0%) had HSV-2 infection. At 54M, 154 (15.8%) had curable STIs and 104 (10.7%) had HSV-2 infection. All (Table presented) curable STIs were treated. Females had a higher prevalence of all pathogens at both visits (p<0.001 for all, Abstract O1-S04.05 table 1). Overall annual incidence rates (per 1,000, 95% CI), based on results of the 934 (96%) students who attended the 42M/54M visits (934 urine, 931 serology tests), were substantially higher in females compared to males [males: GC 18.4 (8.7-36.6), CT 73.7 (52.4-102.5), TV 0.0 (0.0-10.6), HSV-2 28.6 (15.9-59.9); females: GC 76.0 (55.6-102.8), CT 184.0 (152.7-220.4), TV 40.0 (25.7-61.3), HSV-2 64.4 (44.9-91.3)]. Incidence rates were also calculated for students (311 females, 66%; 334 males, 77%) who reported ever having had vaginal intercourse (Abstract O1-S04.05 table 1). Compared to overall rates, females had significantly higher rates for each STI (GC/CT, p<0.001; TV, p =0.027; HSV-2, p =0.015); this was not the case for males. Conclusions: This community-based screening study demonstrates an extremely high STI burden among youth in the Eastern Cape Province of South Africa.",2011,,Sexually Transmitted Infections,87,"(Tyler J.) University of Fort Hare, Alice, South Africa",A30-A31,,10.1136/sextrans-2011-050109.23,,#3666,Radebe 2011,Exclusion reason: 6. HIV data not available or inappropriate; ,""
"Associations of chlamydia trachomatis infection in men and women with genital discharge syndromes in Johannesburg, South Africa",Radebe F.; Ricketts C.; Kekana V.; Vezi A.; Basson I.; Magooa P.; Bhojraj-Sewpershad N.; De Gita G.; Maseko V.; Lewis D.A.,"Background: As part of an on-going STI microbiological surveillance programme, we investigated associations between Chlamydia trachomatis infection and the demographic, clinical, microbiological and behavioural characteristics of patients presenting with either male urethral discharge syndrome (MUDS) or vaginal discharge syndrome (VDS) to a public healthcare facility in Johannesburg, South Africa Methods: 1,218 MUDS and 1,232 VDS cases were consecutively recruited during 6 annual surveys, starting in 2007. Genital discharge pathogens were detected using a molecular assay for N. gonorrhoeae, Chlamydia trachomatis, Trichomonas Vaginalis, Mycoplasma genitalium and by microscopy of vaginal smears (bacterial vaginosis, Candida). Serology was used to detect syphilis, HSV-2 and HIV infections. Chi-squared tests and logistic regression analyses were used to identify predictors of C. trachomatis infection. Results: Overall, 286 (23.5%) men and 197 (16.0%) women were C. trachomatis positive, with the highest prevalence observed in men (30.5%) and women (25.9%) aged 20-24 years. In the multivariate analysis, C. trachomatis was less likely to be detected in MUDS patients co-infected with N. gonorrhoeae (aOR 0.36, 95% CI, 0.26-0.49) and HSV-2 (aOR 0.70, 95% CI, 0.51-0.95) as well as patients who had received antibiotics recently (aOR 0.43. 95% CI, 0.20-0.91). In contrast, the likelihood of C. trachomatis infection was higher in VDS patients co-infected with either N. gonorrhoeae (aOR 2.22, 95% CI, 1.48-3.32) or M. genitalium (aOR 2.24, 95% CI, 1.45-3.47) infection but lower in women who were older (aOR 0.68, 95% CI 0.60-0.77) or who had Candida morphotypes detected (aOR 0.66, 95% CI 0.44-0.98). Conclusion: The increased likelihood of co-existent gonococcal or M. genitalium infections, but the decreased likelihood of Candida infection, in women with VDS-associated chlamydial infection suggests that these women are at higher risk of STIs, and potentially HIV. Paradoxically, gonococcal infection as well as recent antibiotic use, reduced the likelihood of MUDS patients having chlamydial infection.",2013,,Sexually Transmitted Infections,89,"(Radebe F.; Ricketts C.; Kekana V.; Vezi A.; Basson I.; Magooa P.; Bhojraj-Sewpershad N.; De Gita G.; Maseko V.; Lewis D.A.) National Institute for Communicable Diseases (NHLS), Sandringhame, South Africa",,,10.1136/sextrans-2013-051184.0746,,#3795,Radebe 2013,Exclusion reason: 7. HIV or sex data not disaggregated; ,""
Prevalence of chlamydial infections within eight South African provinces (2006-2011),Radebe F.; Maseko V.; Basson I.; De Gita G.; Takuva S.; Lewis D.A.,"Background: The microbiological surveillance was undertaken in eight provinces of South Africa during 2006-2011 to determine the aetiology of the male urethritis syndrome (MUS), vaginal discharge syndrome (VDS) and genital ulcer syndrome (GUS) and the prevalence of HIV, HSV-2 and syphilis. Methods: 1361 MUS, 1691 VDS and 465 GUS cases were consecutively recruited in eight South African provinces (2006-2011). Laboratory-based diagnostic methods included nucleic acid amplification to detect Chlamydia trachomatis, Neisseria gonorrhoeae, Mycoplasma genitalium, Trichomonas Vaginalis, Herpes Simplex Virus 2, Haemophilus ducreyi, Treponema pallidum and Chlamydia trachomatis serovars L1-3. Results: Overall, 202 (14.9%) MUS and 240 (14.2%) VDS cases were positive for C. trachomatis while 6 (1.3%) GUS cases were positive for C. trachomatis serovars L1-3. The highest prevalence of C. trachomatis was 21.1% in Gauteng among men and 19.4% in women. The prevalence in other provinces was: Mpumalanga (men 18.4%; women 17.4%), Limpopo (men 14.0%; women 16.7%), Eastern Cape (men 16.4%; women 13.5%), Western Cape (men 13.5%; women 14.9%), Northwest (men 10.3%; women 11.1%), Free State (men 8.0%; women 9.8%) and Northern Cape (men 8.1%; women 9.6%). C. trachomatis serovars LI-3 prevalence was 3.2% in the Free State, 2.8% in Mpumalanga and 0.7% in Gauteng. No C. trachomatis serovars L1-3 were detected in other five provinces. Conclusions: The prevalence of C. trachomatis infection was high in this population and remains an important cause of genital infection in South Africa particularly in men. This may fuel the HIV epidemic which was high in most of the provinces in this study.",2013,,Sexually Transmitted Infections,89,"(Radebe F.; Maseko V.; Basson I.; De Gita G.; Takuva S.; Lewis D.A.) Centre for HIV and STIs, NICD/NHLS, Johannesburg, South Africa",,,10.1136/sextrans-2013-051184.0751,,#3794,Radebe 2013,Exclusion reason: 6. HIV data not available or inappropriate; ,""
Pooling strategy to detect acute HIV-1 infection (AHI) among at-risk women,Kilembe W.; Kampamba S.; Sichone P.; Siyumbwa N.; Mungandi N.; Sharkey T.; Visoiu A.-M.; Ko J.; Michelo C.; Tichacek A.; Inambao M.; Nyombayire J.; Allen S.; Price M.; Karita E.; Hunter E.,"Background: Identification and recruitment of people with acute HIV-1 Infection (AHI), provides a unique opportunity to study HIV pathogenesis and disease progression. Additionally, AHI cohorts are a useful resource to characterize immune responses to the transmitted founder virus, which can in turn inform vaccine design. The objective of this study was to develop a pooling strategy using the GeneXpert platform to detect AHI among at-risk individuals. Methods: In preparation for upcoming HIV vaccine trials, the Zambia Emory HIV Research Project (ZEHRP) recruited a cohort of women at-risk for HIV. From August 2017 to April 2018, we pooled samples from women who came for screening, enrollment, or scheduled cohort visits. Blood samples collected at these visits were tested for both HIV and syphilis. On a daily basis, plasma samples for women with negative HIV serology results were pooled and tested for AHI using the GeneXpert machine. Samples from a positive GeneXpert pool were deconvoluted to identify individual sample with AHI. Results: We tested 116 plasma pools, containing 732 individual samples from 575 women with a mean age of 23 years (IQR= 21-27). We detected four AHI cases in pools of eight samples, on average. By using this pooling strategy, we used 84% fewer test kits compared to testing each sample individually. Deconvolution of a positive pool was completed on the day of testing. The mean pool log10 viral load (VL) was 5.11 (range 1.68-5.82), and the mean individual sample log10 VL was 6.24 (range 3.26-6.71). Three of the four women consented to enroll in a follow-up study post AHI detection, and seroconversion occurred on days 11, 17, and 27. Conclusions: Pooling of plasma samples is a cost-efficient and timesaving strategy to detect AHI. The high VL in acute infections enables the detection of AHI when many samples are pooled. It is feasible to identify and enroll AHI patients to advance virologic and immunologic correlates of HIV transmission research.",2018,,AIDS Research and Human Retroviruses,34,"(Price M.) International AIDS Vaccine Initiative (IAVI), United States",239,,10.1089/aid.2018.5000.abstracts,,#4702,Kilembe 2018,Exclusion reason: 8. STI data inappropriate or missing; ,""
Single Mothers and Female Sex Workers in Zambia Have Similar Risk Profiles.,Kilembe W.; Inambao M.; Sharkey T.; Wall KM.; Parker R.; Himukumbwa C.; Tichacek A.; Malama K.; Visoiu AM.; Price M.; Chomba E.; Allen S.,"The aim of the study was to compare reproductive health and high-risk behaviors in female sex workers (FSWs) and single mothers (SMs) in Zambia's two largest cities, Lusaka and Ndola. FSWs were invited from known community hot spots, and sexually active HIV- SMs were referred from infant vaccination services for free and anonymous screening and treatment for HIV and other sexually transmitted infections (STIs) and long acting reversible contraception. A subset completed an interviewer-administered survey. From 2012 to 2016, 1,893 women (1,377 FSWs and 516 HIV- SMs) responded to referrals. HIV prevalence was 50% in Lusaka and 33% in Ndola FSWs. Positive syphilis serology (rapid plasmin reagin) was found in 29%-31% of HIV+ FSWs and 9%-12% of HIV- FSWs and SMs. Trichomonas was more common in Ndola (11%-12%), compared with Lusaka (3%-7%). Antiretroviral therapy (ART) use among HIV+ FSWs was 9%-15%. In all groups, consistent condom use (8%-11%) and modern contraceptive use (35%-65%) were low. Low literacy and reported coercion at first sexual intercourse were common in both FSWs and SMs, as was alcohol use during sex among FSWs. Zambian FSWs and SMs have low condom use and high HIV/STI and unplanned pregnancy risk. Many FSWs and half of SMs are ≥25 years of age, and thus too old for HIV prevention services targeting ""adolescent girls and young women"" (aged 15-24). Tailored and targeted reproductive health services are needed to reduce HIV, STI, and unplanned pregnancy in these vulnerable women.",2019,Sep,AIDS research and human retroviruses,35,9,814-825,,10.1089/AID.2019.0013,31204869,#1117,Kilembe 2019,Exclusion reason: 5. Incorrect population; ,""
HIV incidence rates and risk factors for urban women in Zambia: preparing for a microbicide clinical trial.,Kapina M.; Reid C.; Roman K.; Cyrus-Cameron E.; Kwiecien A.; Weiss S.; Vermund SH.,"A preparedness study was conducted to evaluate the suitability of sites and populations following the same study procedures intended for a larger scale microbicide efficacy trial. In the process the study evaluated human immunodeficiency virus (HIV) incidence, prevalence, and risk profiles for HIV-acquisition among young women in urban Zambia. Women aged 16 to 49 years were screened for participation in the study that involved HIV/sexually transmitted infection testing and the assessment of sexual behavioral characteristics. Two hundred thirty-nine eligible women were enrolled and followed up for 12 months. Baseline HIV prevalence at screening was 38.7% (95% CI: 34.2%-43.3%). The highest age-specific prevalence of HIV was 54.1% (95% CI: 46.3%-61.8%) seen in women aged 26 to 34 years. HIV incidence was 2.6% per 100 woman years. Pregnancy rates were high at 17.4 per 100 woman years (95% CI: 12.2-24.1). It was concluded that our general population sample, characterized by high HIV prevalence and ongoing incidence rates despite receiving regular risk reduction counseling and free condoms qualifies for future microbicide studies.A microbicide preparedness study conducted in Lusaka, Zambia found high HIV prevalence and appreciable HIV incidence in a population of women in an urban setting.",2009,Mar,Sexually transmitted diseases,36,3,129-33,,10.1097/OLQ.0b013e318190191d,19174729,#1640,Kapina 2009,Exclusion reason: 7. HIV or sex data not disaggregated; ,""
"Hormonal Contraception and Vaginal Infections Among Couples Who Are Human Immunodeficiency Virus Serodiscordant in Lusaka, Zambia.",Haddad LB.; Wall KM.; Tote K.; Kilembe W.; Vwailika B.; Sharkey T.; Brill I.; Chomba E.; Tichacek A.; Allen S.,"To examine the relationship between hormonal contraception and vaginal infections with bacterial vaginosis, vaginal candidiasis, or trichomoniasis. Couples who were human immunodeficiency virus (HIV) serodiscordant in Zambia were enrolled in a longitudinal cohort study. From 1994 to 2002, both partners were seen quarterly and received physical exams including genital examinations. Separate rates for three outcome infections of interest (bacterial vaginosis, vaginal candidiasis, and trichomoniasis) were calculated. Bivariate associations between baseline and time-varying covariates and outcome infections of interest were evaluated using unadjusted Anderson-Gill survival models. Adjusted hazard ratios (aHRs) were generated using multivariable Anderson-Gill survival models that included demographic and clinical factors associated with both hormonal contraceptive use and each infection of interest. There were 1,558 cases of bacterial vaginosis, 1,529 cases of vaginal candidiasis, and 574 cases of trichomoniasis over 2,143 person-years of observation. Depot medroxyprogesterone acetate (DMPA) users had significantly lower rates of trichomoniasis and bacterial vaginosis. In adjusted models, DMPA was protective for bacterial vaginosis (aHR=0.72; 95% CI 0.54-0.95), candidiasis (aHR 0.75, 95% CI 0.57-1.00) and trichomoniasis (aHR=0.43, 95% CI 0.25-0.74). Oral contraceptive pills were protective for candidiasis (aHR=0.79, 95% CI 0.65-0.97). We confirm that DMPA use was associated with reduced rates of the three most common causes of vaginitis, and oral contraceptive pill use was associated with reduced rates of candidiasis among women in couples who were HIV discordant.",2019,Sep,Obstetrics and gynecology,134,3,573-580,,10.1097/AOG.0000000000003404,31403592,#875,Haddad 2019,Exclusion reason: 4. Incorrect setting or timing; ,""
"Profile of patients and referrals at a midwife obstetric unit in Tshwane North subdistrict, Gauteng province",Horner V.; Mashamba T.J.,"Midwife obstetric units (MOUs) are primary health level facilities at which antenatal care and delivery for low-risk patients are performed. They are important facilities because they are at the interface of the health system in South Africa and the population. One of their main functions is the identifcation and referral of high-risk patients. However, few recent published studies describe the profle of patients utilising the services of MOUs and their referral data in detail in South Africa. The study design was a cohort study. Three hundred and nineteen patients reporting their pregnancies at the MOU were enrolled in the study, and were monitored for the duration of their pregnancies. 20.1% of the women were classifed as high risk at booking. Additionally, 18.2% were referred in labour. Of the high-risk patients, 21.2% of them delivered at the MOU. These women should have delivered at hospital and therefore presented a considerable risk for the MOU. 3.4% of women in the study delivered at home. This constitutes a signifcant risk for these women. Finally, the data showed the detailed distribution of risk factors, taken from history and examination, as well as important delivery information on the study patients. For example, 6.2% of the women had had a Caesarean section for a previous pregnancy, 2.8% had had pregnancy-induced hypertension, 1.5% tested positive for syphilis during their current pregnancy, and 1.8% developed severe anaemia.",2014,,Southern African Journal of Infectious Diseases,29,4,133-136,,10.1080/23120053.2014.11441587,,#3835,Horner 2014,Exclusion reason: 8. STI data inappropriate or missing; ,""
